Category: All categories

Month,Blog: (Worldwide),Tumblr: (Worldwide),Wordpress: (Worldwide),Livejournal: (Worldwide)
2013-08,78,97,16,1
2013-09,69,90,16,1
2013-10,70,92,16,1
2013-11,68,92,17,1
2013-12,66,100,17,1
2014-01,72,95,19,1
2014-02,68,94,19,1
2014-03,66,91,18,1
2014-04,64,90,17,1
2014-05,65,93,17,1
2014-06,62,89,22,1
2014-07,63,93,30,1
2014-08,62,94,26,1
2014-09,62,87,23,1
2014-10,60,87,21,<1
2014-11,61,85,19,<1
2014-12,53,85,15,<1
2015-01,58,87,16,<1
2015-02,58,84,17,<1
2015-03,58,83,17,<1
2015-04,54,87,17,<1
2015-05,57,86,16,<1
2015-06,52,86,15,<1
2015-07,55,88,16,<1
2015-08,52,91,15,<1
2015-09,50,92,15,<1
2015-10,51,85,15,<1
2015-11,49,88,14,<1
2015-12,48,94,13,<1
2016-01,47,78,16,<1
2016-02,46,74,17,<1
2016-03,45,75,15,<1
2016-04,45,73,15,<1
2016-05,41,72,15,<1
2016-06,43,74,14,<1
2016-07,40,79,13,<1
2016-08,40,71,12,<1
2016-09,41,72,13,<1
2016-10,39,70,13,<1
2016-11,37,66,14,<1
2016-12,35,69,13,<1
2017-01,38,67,14,<1
2017-02,36,67,15,<1
2017-03,36,64,15,<1
2017-04,35,70,13,<1
2017-05,34,64,13,<1
2017-06,34,63,12,<1
2017-07,33,70,12,<1
2017-08,33,68,12,<1
2017-09,34,64,12,<1
2017-10,31,63,11,<1
2017-11,30,58,12,<1
2017-12,29,60,11,<1
2018-01,33,56,12,<1
2018-02,31,52,12,<1
2018-03,31,50,12,<1
2018-04,29,46,11,<1
2018-05,29,49,12,<1
2018-06,28,47,10,<1
2018-07,26,49,10,<1
2018-08,28,45,10,<1
2018-09,27,42,11,<1
2018-10,26,38,10,<1
2018-11,26,40,10,<1
2018-12,24,38,9,<1
2019-01,26,29,10,<1
2019-02,25,25,10,<1
2019-03,26,24,10,<1
2019-04,25,22,9,<1
2019-05,24,22,9,<1
2019-06,25,23,9,<1
2019-07,24,23,9,<1
2019-08,23,22,9,<1
2019-09,24,19,9,<1
2019-10,24,18,9,<1
2019-11,22,17,9,<1
2019-12,22,18,8,<1
2020-01,23,17,9,<1
2020-02,22,15,9,<1
2020-03,25,17,9,<1
2020-04,25,17,11,<1
2020-05,24,17,10,<1
2020-06,23,16,10,<1
2020-07,22,16,10,<1
2020-08,21,14,9,<1
2020-09,21,14,10,<1
2020-10,20,13,8,<1
2020-11,20,12,7,<1
2020-12,19,12,7,<1
2021-01,19,11,7,<1
2021-02,19,11,7,<1
2021-03,19,10,7,<1
2021-04,19,10,7,<1
2021-05,18,10,7,<1
2021-06,19,9,7,<1
2021-07,19,9,6,<1
2021-08,18,9,6,<1
2021-09,17,8,6,<1
2021-10,17,8,6,<1
2021-11,17,8,7,<1
2021-12,16,8,6,<1
2022-01,18,7,8,<1
2022-02,18,7,9,<1
2022-03,18,7,9,<1
2022-04,18,7,8,<1
2022-05,17,6,8,<1
2022-06,18,7,8,<1
2022-07,17,7,8,<1
2022-08,16,6,8,<1
2022-09,16,6,8,<1
2022-10,15,6,8,<1
2022-11,15,6,8,<1
2022-12,13,6,7,<1
2023-01,15,6,8,<1
2023-02,16,5,8,<1
2023-03,15,5,8,<1
2023-04,14,5,8,<1
2023-05,14,5,8,<1
2023-06,14,5,8,<1
2023-07,14,5,7,<1
