Category: All categories

Day,Blog: (Worldwide),Tumblr: (Worldwide),Wordpress: (Worldwide),Livejournal: (Worldwide)
2023-06-18,85,32,32,<1
2023-06-19,92,28,56,<1
2023-06-20,93,27,54,<1
2023-06-21,90,27,55,<1
2023-06-22,90,28,51,<1
2023-06-23,90,29,45,<1
2023-06-24,85,31,29,1
2023-06-25,88,29,29,<1
2023-06-26,95,28,53,<1
2023-06-27,94,27,55,<1
2023-06-28,87,27,51,<1
2023-06-29,89,28,48,<1
2023-06-30,93,29,46,<1
2023-07-01,84,31,32,<1
2023-07-02,92,39,28,1
2023-07-03,90,31,48,<1
2023-07-04,89,31,51,<1
2023-07-05,90,29,52,<1
2023-07-06,90,29,52,<1
2023-07-07,93,29,46,<1
2023-07-08,80,33,31,<1
2023-07-09,89,31,33,1
2023-07-10,100,29,58,<1
2023-07-11,93,28,52,<1
2023-07-12,95,27,57,<1
2023-07-13,92,29,51,<1
2023-07-14,97,31,48,<1
