Category: All categories

Time,Blog: (Worldwide),Tumblr: (Worldwide),Wordpress: (Worldwide),Livejournal: (Worldwide)
2023-07-11T09,74,19,64,<1
2023-07-11T10,78,19,60,<1
2023-07-11T11,74,21,55,<1
2023-07-11T12,79,21,52,1
2023-07-11T13,78,23,51,<1
2023-07-11T14,78,22,52,<1
2023-07-11T15,82,23,51,<1
2023-07-11T16,82,24,50,<1
2023-07-11T17,80,25,43,<1
2023-07-11T18,81,24,42,<1
2023-07-11T19,87,26,41,<1
2023-07-11T20,88,27,40,<1
2023-07-11T21,94,29,39,<1
2023-07-11T22,94,32,39,<1
2023-07-11T23,90,36,36,<1
2023-07-12T00,88,35,32,<1
2023-07-12T01,83,33,42,<1
2023-07-12T02,82,33,46,<1
2023-07-12T03,74,34,43,<1
2023-07-12T04,68,31,41,<1
2023-07-12T05,66,28,45,<1
2023-07-12T06,69,25,48,<1
2023-07-12T07,68,20,55,<1
2023-07-12T08,65,18,65,<1
2023-07-12T09,75,17,63,<1
2023-07-12T10,76,16,61,<1
2023-07-12T11,82,18,56,<1
2023-07-12T12,75,19,49,<1
2023-07-12T13,77,19,49,<1
2023-07-12T14,76,19,54,<1
2023-07-12T15,79,21,47,<1
2023-07-12T16,83,21,48,<1
2023-07-12T17,82,21,40,<1
2023-07-12T18,80,22,40,<1
2023-07-12T19,86,24,39,<1
2023-07-12T20,90,26,39,<1
2023-07-12T21,95,29,40,<1
2023-07-12T22,100,33,39,<1
2023-07-12T23,94,35,34,<1
2023-07-13T00,90,35,32,<1
2023-07-13T01,85,34,38,<1
2023-07-13T02,78,30,41,<1
2023-07-13T03,71,30,39,<1
2023-07-13T04,67,31,40,<1
2023-07-13T05,68,26,46,<1
2023-07-13T06,70,23,50,<1
2023-07-13T07,67,20,55,<1
2023-07-13T08,69,17,62,<1
2023-07-13T09,70,15,62,<1
2023-07-13T10,72,17,60,<1
2023-07-13T11,77,17,55,<1
2023-07-13T12,78,18,46,<1
2023-07-13T13,79,20,51,<1
2023-07-13T14,79,19,48,<1
2023-07-13T15,79,19,47,<1
2023-07-13T16,80,21,47,<1
2023-07-13T17,80,21,40,<1
2023-07-13T18,81,24,41,<1
2023-07-13T19,85,22,41,<1
2023-07-13T20,86,26,39,<1
2023-07-13T21,87,28,39,<1
2023-07-13T22,92,33,36,<1
2023-07-13T23,89,35,33,<1
2023-07-14T00,82,32,30,<1
2023-07-14T01,83,33,37,<1
2023-07-14T02,77,31,38,<1
2023-07-14T03,75,32,39,<1
2023-07-14T04,67,31,37,<1
2023-07-14T05,66,29,44,<1
2023-07-14T06,69,25,47,<1
2023-07-14T07,68,21,52,<1
2023-07-14T08,67,18,56,<1
2023-07-14T09,70,16,57,<1
2023-07-14T10,72,16,54,<1
2023-07-14T11,76,17,50,<1
2023-07-14T12,77,20,45,<1
2023-07-14T13,76,19,44,<1
2023-07-14T14,75,27,43,<1
2023-07-14T15,78,20,42,<1
2023-07-14T16,76,21,41,<1
2023-07-14T17,77,21,38,<1
2023-07-14T18,76,24,35,<1
2023-07-14T19,80,24,36,<1
2023-07-14T20,78,25,36,<1
2023-07-14T21,80,27,33,<1
2023-07-14T22,84,29,31,<1
2023-07-14T23,82,33,26,<1
2023-07-15T00,91,30,27,<1
2023-07-15T01,79,33,32,<1
2023-07-15T02,72,32,31,<1
2023-07-15T03,69,32,30,<1
2023-07-15T04,66,33,30,<1
2023-07-15T05,63,27,33,<1
2023-07-15T06,67,25,37,<1
2023-07-15T07,65,23,35,<1
2023-07-15T08,64,20,41,<1
2023-07-15T09,65,19,37,<1
2023-07-15T10,69,18,34,<1
2023-07-15T11,71,20,32,<1
2023-07-15T12,71,21,28,<1
2023-07-15T13,70,21,30,<1
2023-07-15T14,68,22,29,<1
2023-07-15T15,66,20,30,<1
2023-07-15T16,72,22,31,<1
2023-07-15T17,73,24,29,<1
2023-07-15T18,72,23,29,<1
2023-07-15T19,77,25,27,<1
2023-07-15T20,80,27,26,<1
2023-07-15T21,80,29,24,1
2023-07-15T22,79,31,23,<1
2023-07-15T23,81,32,26,<1
2023-07-16T00,84,36,23,<1
2023-07-16T01,76,34,31,<1
2023-07-16T02,76,33,30,<1
2023-07-16T03,74,32,27,<1
2023-07-16T04,65,33,27,<1
2023-07-16T05,63,32,33,<1
2023-07-16T06,67,27,32,<1
2023-07-16T07,65,25,32,<1
2023-07-16T08,68,22,32,<1
2023-07-16T09,66,19,32,<1
2023-07-16T10,67,19,31,<1
2023-07-16T11,69,20,31,<1
2023-07-16T12,70,19,28,<1
2023-07-16T13,72,22,30,<1
2023-07-16T14,72,21,28,<1
2023-07-16T15,73,22,29,<1
2023-07-16T16,73,24,29,<1
2023-07-16T17,72,24,27,<1
2023-07-16T18,74,24,27,<1
2023-07-16T19,83,26,27,<1
2023-07-16T20,81,29,27,<1
2023-07-16T21,86,33,27,<1
2023-07-16T22,94,34,27,<1
2023-07-16T23,91,36,28,<1
2023-07-17T00,93,37,25,<1
2023-07-17T01,87,35,31,<1
2023-07-17T02,78,34,32,<1
2023-07-17T03,73,33,35,<1
2023-07-17T04,70,32,38,<1
2023-07-17T05,67,27,40,<1
2023-07-17T06,69,26,46,<1
2023-07-17T07,63,20,51,<1
2023-07-17T08,68,17,58,<1
2023-07-17T09,68,18,58,<1
2023-07-17T10,39,9,28,<1
2023-07-17T11,81,18,51,<1
2023-07-17T12,78,19,43,<1
2023-07-17T13,78,19,45,<1
2023-07-17T14,78,20,47,<1
2023-07-17T15,84,21,47,<1
2023-07-17T16,85,22,40,<1
2023-07-17T17,39,11,19,<1
2023-07-17T18,84,22,39,<1
2023-07-17T19,43,12,21,<1
2023-07-17T20,90,31,40,<1
2023-07-17T21,44,14,19,<1
2023-07-17T22,98,36,41,<1
2023-07-17T23,86,37,37,1
2023-07-18T00,83,36,32,<1
2023-07-18T01,80,35,40,<1
2023-07-18T02,76,32,41,<1
2023-07-18T03,67,33,36,<1
2023-07-18T04,66,32,38,<1
2023-07-18T05,57,28,43,1
2023-07-18T06,63,25,46,<1
2023-07-18T07,68,20,49,<1
2023-07-18T08,70,18,59,<1
