Category: All categories

Week,Blog: (Worldwide),Tumblr: (Worldwide),Wordpress: (Worldwide),Livejournal: (Worldwide)
2022-07-24,99,38,48,<1
2022-07-31,100,39,48,<1
2022-08-07,93,37,45,<1
2022-08-14,99,38,46,<1
2022-08-21,99,36,48,<1
2022-08-28,98,37,48,<1
2022-09-04,91,34,47,<1
2022-09-11,91,34,46,<1
2022-09-18,97,35,47,1
2022-09-25,99,34,49,<1
2022-10-02,95,33,46,<1
2022-10-09,96,34,46,<1
2022-10-16,89,31,47,<1
2022-10-23,90,35,47,<1
2022-10-30,94,37,46,<1
2022-11-06,92,36,46,<1
2022-11-13,94,38,49,<1
2022-11-20,87,33,44,<1
2022-11-27,85,31,44,<1
2022-12-04,86,31,45,<1
2022-12-11,93,33,45,<1
2022-12-18,84,33,42,<1
2022-12-25,83,37,37,<1
2023-01-01,92,36,46,<1
2023-01-08,90,32,51,<1
2023-01-15,95,32,51,<1
2023-01-22,91,33,53,<1
2023-01-29,96,32,54,<1
2023-02-05,93,30,52,<1
2023-02-12,90,30,50,<1
2023-02-19,91,30,49,<1
2023-02-26,99,30,51,<1
2023-03-05,95,28,50,<1
2023-03-12,90,30,49,<1
2023-03-19,95,29,48,<1
2023-03-26,89,29,50,<1
2023-04-02,86,30,48,<1
2023-04-09,85,29,44,<1
2023-04-16,85,29,47,<1
2023-04-23,87,28,46,<1
2023-04-30,91,29,44,<1
2023-05-07,87,29,46,<1
2023-05-14,85,29,45,<1
2023-05-21,86,28,48,<1
2023-05-28,86,29,45,<1
2023-06-04,88,28,50,<1
2023-06-11,87,30,44,<1
2023-06-18,82,28,45,<1
2023-06-25,83,29,43,<1
2023-07-02,82,31,43,<1
2023-07-09,87,29,49,<1
