Category: All categories

Month,Blog: (Worldwide),Tumblr: (Worldwide),Wordpress: (Worldwide),Livejournal: (Worldwide)
2004-01,15,0,<1,3
2004-02,15,<1,<1,3
2004-03,14,<1,<1,3
2004-04,17,0,<1,4
2004-05,19,0,1,4
2004-06,19,<1,1,4
2004-07,23,0,1,4
2004-08,22,<1,1,5
2004-09,24,<1,1,4
2004-10,25,0,1,4
2004-11,26,0,1,4
2004-12,26,0,1,4
2005-01,33,0,1,5
2005-02,32,0,1,4
2005-03,35,<1,1,4
2005-04,36,0,1,4
2005-05,37,0,2,4
2005-06,42,<1,2,5
2005-07,44,0,2,5
2005-08,47,0,2,5
2005-09,49,<1,2,4
2005-10,50,0,2,4
2005-11,55,0,2,4
2005-12,63,<1,2,4
2006-01,65,0,3,4
2006-02,65,<1,3,3
2006-03,65,<1,3,3
2006-04,66,<1,3,3
2006-05,65,0,3,3
2006-06,70,0,3,4
2006-07,69,0,3,4
2006-08,68,0,4,3
2006-09,72,<1,3,3
2006-10,74,0,3,3
2006-11,71,<1,4,3
2006-12,75,0,3,3
2007-01,76,<1,4,3
2007-02,82,<1,5,3
2007-03,82,<1,5,3
2007-04,87,<1,5,3
2007-05,95,<1,5,3
2007-06,90,<1,5,3
2007-07,91,<1,5,3
2007-08,89,<1,6,3
2007-09,95,<1,6,3
2007-10,90,<1,6,2
2007-11,93,<1,6,2
2007-12,90,<1,6,2
2008-01,91,<1,6,3
2008-02,94,<1,6,2
2008-03,85,<1,6,2
2008-04,86,<1,7,2
2008-05,88,<1,7,2
2008-06,92,<1,7,2
2008-07,92,<1,7,2
2008-08,91,<1,7,3
2008-09,92,<1,7,2
2008-10,89,<1,7,2
2008-11,92,<1,8,2
2008-12,93,<1,8,2
2009-01,92,<1,9,2
2009-02,93,1,9,2
2009-03,95,1,10,2
2009-04,100,1,9,2
2009-05,95,1,9,2
2009-06,93,1,10,2
2009-07,92,1,10,2
2009-08,96,1,10,2
2009-09,93,1,10,2
2009-10,92,1,10,2
2009-11,90,2,10,2
2009-12,86,2,10,2
2010-01,94,2,11,2
2010-02,90,3,11,2
2010-03,90,3,11,2
2010-04,91,4,11,2
2010-05,92,4,12,2
2010-06,87,5,12,2
2010-07,83,6,11,2
2010-08,86,7,11,2
2010-09,85,7,11,1
2010-10,84,8,11,1
2010-11,82,10,12,1
2010-12,81,13,11,1
2011-01,83,14,12,1
2011-02,84,15,13,1
2011-03,87,19,13,1
2011-04,85,22,13,1
2011-05,94,24,13,1
2011-06,84,27,13,1
2011-07,81,31,13,1
2011-08,86,34,13,1
2011-09,83,33,13,1
2011-10,85,36,13,1
2011-11,80,39,13,1
2011-12,76,44,12,1
2012-01,77,45,13,1
2012-02,70,48,14,1
2012-03,74,50,13,1
2012-04,72,55,14,1
2012-05,74,57,13,1
2012-06,72,60,13,1
2012-07,69,64,13,1
2012-08,69,68,13,1
2012-09,72,63,13,1
2012-10,73,68,13,1
2012-11,70,69,12,1
2012-12,63,78,12,1
2013-01,71,76,14,1
2013-02,67,75,14,1
2013-03,64,76,14,1
2013-04,65,75,13,1
2013-05,60,80,13,1
2013-06,60,80,13,1
2013-07,60,80,13,1
2013-08,60,78,13,1
2013-09,55,71,13,1
2013-10,58,74,13,1
2013-11,57,74,14,1
2013-12,54,78,14,1
2014-01,56,76,15,<1
2014-02,54,73,15,1
2014-03,54,71,14,1
2014-04,53,73,14,<1
2014-05,51,72,13,<1
2014-06,49,73,18,<1
2014-07,50,74,23,<1
2014-08,48,74,21,<1
2014-09,50,70,18,<1
2014-10,49,70,17,<1
2014-11,47,68,16,<1
2014-12,44,69,12,<1
2015-01,46,69,13,<1
2015-02,45,67,13,<1
2015-03,45,67,13,<1
2015-04,43,68,14,<1
2015-05,41,68,13,<1
2015-06,41,70,13,<1
2015-07,42,69,12,<1
2015-08,41,73,12,<1
2015-09,40,71,12,<1
2015-10,41,68,12,<1
2015-11,42,71,12,<1
2015-12,36,73,12,<1
2016-01,37,61,12,<1
2016-02,37,61,13,<1
2016-03,36,58,13,<1
2016-04,36,58,12,<1
2016-05,34,59,12,<1
2016-06,34,58,11,<1
2016-07,32,64,10,<1
2016-08,32,57,10,<1
2016-09,33,57,10,<1
2016-10,32,55,10,<1
2016-11,30,54,10,<1
2016-12,28,55,10,<1
2017-01,29,53,11,<1
2017-02,30,55,12,<1
2017-03,29,51,12,<1
2017-04,29,54,11,<1
2017-05,28,52,11,<1
2017-06,26,52,10,<1
2017-07,26,55,9,<1
2017-08,26,55,9,<1
2017-09,27,52,9,<1
2017-10,25,48,9,<1
2017-11,25,47,10,<1
2017-12,24,48,8,<1
2018-01,25,45,9,<1
2018-02,24,41,9,<1
2018-03,24,42,9,<1
2018-04,23,38,9,<1
2018-05,23,37,9,<1
2018-06,23,35,8,<1
2018-07,22,38,8,<1
2018-08,19,35,8,<1
2018-09,22,33,8,<1
2018-10,21,32,8,<1
2018-11,20,32,8,<1
2018-12,20,33,7,<1
2019-01,21,23,8,<1
2019-02,20,20,8,<1
2019-03,20,19,8,<1
2019-04,19,17,8,<1
2019-05,19,17,7,<1
2019-06,19,18,7,<1
2019-07,19,18,8,<1
2019-08,19,17,7,<1
2019-09,19,15,8,<1
2019-10,19,15,7,<1
2019-11,18,14,7,<1
2019-12,18,15,6,<1
2020-01,17,14,7,<1
2020-02,18,13,8,<1
2020-03,20,13,8,<1
2020-04,20,13,8,<1
2020-05,20,13,8,<1
2020-06,19,13,8,<1
2020-07,17,13,8,<1
2020-08,17,11,8,<1
2020-09,17,11,8,<1
2020-10,16,10,6,<1
2020-11,15,10,6,<1
2020-12,15,9,5,<1
2021-01,16,9,5,<1
2021-02,15,9,6,<1
2021-03,16,8,6,<1
2021-04,15,8,6,<1
2021-05,15,8,5,<1
2021-06,15,8,5,<1
2021-07,14,7,5,<1
2021-08,14,7,5,<1
2021-09,14,6,5,<1
2021-10,13,6,5,<1
2021-11,14,6,5,<1
2021-12,13,6,5,<1
2022-01,14,6,6,<1
2022-02,14,5,7,<1
2022-03,15,5,7,<1
2022-04,14,5,7,<1
2022-05,13,5,6,<1
2022-06,14,5,6,<1
2022-07,14,5,6,<1
2022-08,13,5,6,<1
2022-09,13,5,6,<1
2022-10,12,4,6,<1
2022-11,12,5,6,<1
2022-12,11,4,6,<1
2023-01,13,4,6,<1
2023-02,12,4,7,<1
2023-03,12,4,7,<1
2023-04,11,4,6,<1
2023-05,12,4,6,<1
2023-06,11,4,6,<1
2023-07,11,4,6,<1
